ID,Name,Age,Gender,Email,City,Salary,Purchase_Amount,Signup_Date,Subscription_Type
20,Kelly Perez,62.0,Male,stephen60@wilkerson.com,Howardmouth,136528.0,855.22,2024-07-15,Standard
21,Jeremy Dougherty,,Female,justinrush@yahoo.com,East Andre,56336.0,924.94,2024-07-24,Premium
22,Gregory Lopez,38.0,Other,waltonmichael@gmail.com,New Nicholasstad,33657.0,741.72,,Basic
23,Timothy Thompson,26.0,Female,kristiehernandez@gmail.com,New Jessica,,817.4,2021-04-20,Basic
24,David Coleman,66.0,,russellkerr@fowler.org,Kennethland,147536.0,98.52,2021-04-07,Standard
25,Amber Daniels,54.0,Male,lawrencerice@cole.com,Lake Justinbury,,63.81,2024-01-02,Standard
26,Anita Arnold,21.0,Other,bhernandez@waller-smith.com,New Calebmouth,100481.0,291.27,2020-07-26,
27,Heather Cooper,59.0,Male,justin22@wise.com,New Angelaborough,77370.0,158.87,2021-09-29,Basic
28,Kayla Vaughn,50.0,Other,cking@yahoo.com,South Emilyside,70195.0,700.98,2024-06-26,Premium
29,Jason Sanchez,69.0,,morenosherri@compton.org,Sherichester,34653.0,207.3,2020-12-11,Standard
30,Gerald Short IV,21.0,Other,cdean@wyatt-walls.org,Elizabethshire,128870.0,,2023-07-23,Basic
31,Alyssa Guerrero,59.0,Male,shawn92@smith.com,West Anthony,110068.0,830.33,2024-04-25,Premium
32,Jean Dixon,26.0,Male,gallegosmary@ibarra.com,Waltonburgh,103998.0,749.39,2020-07-15,Standard
33,Shirley Russell,51.0,Female,garciaelizabeth@campbell.com,Lake Heather,49951.0,262.89,2023-05-31,Basic
34,Eric Rodriguez,,Male,vancechristine@hotmail.com,West Cherylfurt,100117.0,583.98,,Basic
35,Nicholas Cooper,20.0,Other,dpalmer@bird.biz,Timothyview,80022.0,514.88,2020-09-25,Standard
36,Crystal Mcintosh,,Female,poncemichele@yahoo.com,South Katherinemouth,67546.0,,2020-03-13,Premium
37,Kelly Miranda,66.0,Male,dhoward@mason.info,East Tinatown,107190.0,192.63,2022-05-28,Standard
38,Jenna Solomon,45.0,Other,ramseyshannon@hotmail.com,Tapiaberg,130322.0,45.24,2021-07-20,
39,Lauren Logan,30.0,Female,scolon@hotmail.com,Lopezville,149040.0,799.63,2024-08-23,Premium
40,Kristy Rodriguez,32.0,Female,dawnberry@gmail.com,New Alicia,123252.0,912.17,2022-01-20,Standard
41,Rachel Alexander,25.0,Female,matthewlee@obrien.com,Lake Williamstad,119897.0,259.68,2020-02-11,Premium
42,Jerry Hall,26.0,Other,jmartin@yahoo.com,New Kyleside,75367.0,,2024-02-21,Standard
43,Karen Newman,44.0,Female,lmccann@yahoo.com,North Andrewmouth,102885.0,723.14,2022-08-30,Basic
44,Todd Davis,21.0,Female,greenkimberly@kim.org,West Davidfurt,120170.0,91.0,2022-04-16,Standard
45,Timothy Johnson,20.0,Female,tonya13@yahoo.com,Karahaven,86158.0,187.12,2024-04-18,Basic
46,Jennifer Williamson,33.0,Male,michaelhuynh@hotmail.com,East Justin,,615.55,2023-08-13,Standard
47,Edward Sanders,56.0,Female,pricericardo@gmail.com,Rojasview,98120.0,935.85,2020-03-11,Standard
48,Jermaine Miller,21.0,Male,timothygill@klein.com,Aguilarport,48039.0,956.16,2024-12-13,Premium
49,,,Male,josephross@gmail.com,Allisonhaven,127559.0,985.81,,Premium
50,Michael Ortiz,45.0,Male,daniellopez@ibarra.com,West Tiffany,55355.0,986.44,2021-09-20,Basic
51,Larry Wilcox,43.0,Male,moodyjoshua@navarro.com,West Scott,,732.9,2024-06-09,Premium
52,Gregory Smith,25.0,Male,hgriffith@gmail.com,Port Jenniferland,74478.0,,2023-03-10,Standard
53,Nicole Martinez,,Female,andrea74@yahoo.com,Fuentesport,91797.0,408.97,2022-10-12,Premium
54,Brenda Weber,36.0,Male,shawnhamilton@gmail.com,Powellville,128997.0,826.63,2021-10-27,Standard
55,Matthew Fuller,18.0,Male,salinasjennifer@nguyen.com,Deborahton,63216.0,414.51,2022-01-13,Premium
56,Alexis Smith,40.0,Other,amber12@fields.com,East Elizabeth,47771.0,550.28,2020-12-08,Basic
57,Andrea Perry,39.0,Female,jenniferking@collins.biz,North Sandra,57746.0,146.49,2024-04-06,Premium
58,Beth Kennedy,,Other,david78@taylor.info,Port Josephport,124166.0,829.96,2024-01-21,Premium
59,Allison Strickland,20.0,Female,abrewer@gmail.com,North Annette,69793.0,691.12,2022-12-19,Standard
60,Robert White,24.0,Other,richardsondavid@yahoo.com,East Larry,63372.0,952.79,2024-12-23,Premium
61,Katie Lewis,56.0,Female,combsbryan@yahoo.com,East Sherry,132078.0,673.38,2024-11-30,Basic
62,Larry Martinez,68.0,Male,shannoncarey@turner.biz,Brianside,104089.0,471.0,2022-02-23,Basic
63,Michael Harmon,41.0,,davidcasey@clark-clark.biz,New Brenda,,246.01,2020-08-31,Standard
64,Lauren Trevino,24.0,Female,kyleholmes@hotmail.com,Williamsville,111595.0,506.51,2022-03-31,Basic
65,Alex Anderson,50.0,Male,andrewsdavid@lee.com,Jamesport,32357.0,846.61,,Standard
66,Michael Coleman,33.0,Female,jennifer06@yahoo.com,North Amy,,348.19,2021-03-14,Basic
67,Jorge Medina,36.0,Male,evanjackson@cortez.net,East Charlesville,117410.0,852.41,2024-10-25,Premium
68,Scott Bailey,41.0,,perryrobert@ritter.com,Johnfort,112051.0,844.25,2020-10-16,Standard
69,Mark Campbell,28.0,Female,ralphwalton@hotmail.com,South Sara,62519.0,478.17,2022-01-07,Basic
70,William James,24.0,Other,timothyfisher@hotmail.com,Coreyberg,131682.0,551.19,2020-04-21,Premium
71,Valerie Long,35.0,Female,david72@jones.biz,Simpsonton,,702.42,2024-01-30,Basic
72,Chelsea Wilson,34.0,Female,,East Nicholasborough,125265.0,,2020-12-13,Standard
73,Richard Guzman,65.0,Male,jenny16@estrada.com,South Daniel,116201.0,,2023-02-20,Basic
74,Andrea Brock,66.0,Other,josefrancis@yahoo.com,Port Gary,,876.0,2024-12-23,Premium
75,James Rodriguez,51.0,Male,rjackson@young.com,Stephanieside,38837.0,247.55,2022-04-28,Basic
76,Kevin Castro,39.0,Other,alison24@yahoo.com,South Danielleton,45091.0,824.34,2022-03-28,Basic
77,Mark Alexander,59.0,Female,qcarr@gmail.com,North Lauren,,116.96,2022-09-13,
78,Joy Duran,61.0,Female,egarcia@yahoo.com,Leonardside,147855.0,222.35,2022-03-29,
79,Linda Boyd,,Other,matthew90@herrera.org,Lake Brittany,36160.0,782.49,2021-09-20,Basic
80,Sarah Thomas,48.0,Male,crossmichael@jensen.biz,Frazierburgh,144663.0,315.88,2023-10-29,Basic
81,Matthew Martin,32.0,Other,jennifer81@contreras.com,South Maria,84392.0,208.61,2020-01-14,Basic
82,Michael Davenport,37.0,Female,alex54@yahoo.com,East Reneeland,85008.0,182.92,2025-01-06,Basic
83,Whitney Brown,36.0,Male,xbrown@yahoo.com,Simmonsland,,27.68,2021-11-07,Premium
84,Tiffany Franklin,58.0,Female,sandra87@frederick.com,Terrifurt,64524.0,906.35,2025-01-11,Standard
85,David Green,52.0,Other,gwhite@conway-curtis.com,Curtismouth,48075.0,,2022-11-23,Standard
86,,50.0,Male,edavenport@gmail.com,Ericborough,142180.0,794.75,2024-03-23,Premium
87,Jennifer Lee,46.0,Other,pmoore@lopez.com,West Kevin,128117.0,559.64,2020-09-24,Basic
88,Patrick Thomas,,Female,smithbenjamin@hotmail.com,Brookechester,104088.0,82.29,,Standard
89,David Wells,34.0,Male,wilkersonstephen@yahoo.com,Lake Alan,78149.0,330.03,2023-11-22,Standard
90,Chris Alexander,24.0,Other,zhicks@solis.com,West Olivia,81387.0,443.12,2024-09-27,Basic
91,Michelle Whitehead,,Female,jenniferlara@bullock-carlson.info,Crystalton,45017.0,784.47,2024-01-16,Basic
92,Sarah Alvarado,55.0,Male,erik33@yahoo.com,Lake Janehaven,45416.0,826.75,2023-12-12,Basic
93,Alexandra Moore,24.0,Female,derek35@glenn.com,North Micheleside,104823.0,743.93,2023-02-22,Basic
94,Kevin Ramos,42.0,Other,bennettdiana@yahoo.com,Caseyville,30079.0,841.11,2020-01-30,Premium
95,James Butler,67.0,Female,danielmarshall@hotmail.com,Johnmouth,75079.0,132.89,2024-04-10,Premium
96,Tiffany Morales,31.0,Male,katie53@gmail.com,Michaelmouth,45287.0,,2020-02-20,Premium
97,Dominique Torres,20.0,Female,williamsashley@gmail.com,West Angela,88211.0,888.35,2020-07-10,Basic
98,Karen Wang,49.0,Male,cmorris@shaw-wyatt.com,Lake Michaelton,99422.0,,2024-11-13,
99,Craig Mcdaniel,,Male,iclark@gmail.com,North Francesburgh,126462.0,533.06,2022-02-15,Standard
100,Nicolas Rush,28.0,Other,castrojoseph@torres.com,Port Tanya,138957.0,115.74,2024-03-09,Basic
101,Bradley Pope,39.0,Female,juliealvarado@salinas.com,Garciamouth,111743.0,761.0,2022-06-09,Standard
102,Ms. Brenda Martinez MD,55.0,Male,xmeyer@schultz.org,North Elizabethville,84666.0,576.29,2024-07-26,Standard
103,Kayla Smith,27.0,Female,duranandrea@sanders.com,Wyattmouth,91781.0,864.7,2020-06-26,Basic
104,Robin Cochran,67.0,Other,aaronjordan@hall.com,,47052.0,12.77,2023-11-01,Basic
105,Melvin Mckinney,68.0,Female,davidcompton@yahoo.com,Franklinchester,107576.0,889.8,2021-12-30,Standard
106,Michael Perez,20.0,,grahamjoseph@estrada.info,Aprilburgh,,290.75,2024-01-07,Basic
107,Dan Davis,,Female,zanthony@mclaughlin-garcia.biz,South William,92614.0,696.43,2022-09-06,Standard
108,Bobby Jefferson,39.0,Male,,East Laura,87500.0,558.64,2023-01-09,Premium
109,Jose Trevino,35.0,,thomasharmon@gmail.com,East Jesseburgh,129698.0,795.16,2022-08-29,Premium
110,Billy Curtis,54.0,Male,christina40@mcdaniel-hartman.com,Kennethburgh,99327.0,812.76,2023-07-04,Basic
111,Anthony Nelson,70.0,Other,kimberly70@yahoo.com,Elliottfort,40207.0,,2022-09-07,Basic
112,Zachary Harris,45.0,Male,jonathan16@hotmail.com,West Rebekahmouth,138714.0,,2023-12-25,Premium
113,Ms. Laura Wright DVM,34.0,Male,veronicacarter@taylor.com,,86794.0,716.34,2022-05-21,Premium
114,Connie Carter,55.0,Female,ana75@hotmail.com,Amandamouth,99675.0,826.2,2024-03-22,Standard
115,Elizabeth Allen,34.0,Female,brandonprice@gmail.com,Johnstonfort,136015.0,212.96,2021-01-24,Premium
116,Jeffrey Gonzalez,35.0,Other,patrickalexa@yahoo.com,North Lindashire,119726.0,837.92,2020-06-10,Basic
117,Michele Kelley,68.0,,jfrost@gmail.com,Cathyside,131472.0,355.92,2020-05-28,Basic
118,Brenda Wilkins,48.0,Other,osbornbrittany@andrade-jones.com,Erinfurt,65573.0,236.83,2022-06-08,Basic
119,George Webb,44.0,Other,jacob37@moreno.info,New Katherine,68955.0,850.83,2021-10-27,Standard
120,Suzanne Calderon,68.0,Male,lmoore@gmail.com,Mendozaberg,104761.0,114.98,2022-12-13,Premium
121,Jesse Davis,60.0,Other,yhawkins@hotmail.com,Marilynton,93230.0,984.28,2023-05-10,Standard
122,,61.0,Male,stevenbarton@walker.org,Bobberg,53840.0,874.97,2023-04-18,Basic
123,Dennis Brown,49.0,Female,averybradley@roberts.com,Keithville,144990.0,481.86,2021-08-09,Standard
124,Lee Martin,35.0,Male,rita01@yahoo.com,North William,96619.0,553.44,2020-01-21,Premium
125,Vincent Scott,19.0,,mirandawells@sullivan.com,Davidberg,145270.0,25.12,2021-04-09,Basic
126,John Schneider,57.0,Other,woodwilliam@yahoo.com,Terrychester,68461.0,372.6,2023-11-24,Premium
127,Kristin Pearson,23.0,Male,jacobdixon@riley.biz,Jacobstad,65987.0,850.2,2024-01-06,Premium
128,,50.0,Male,zgomez@miller.biz,Port Donald,102655.0,134.65,2020-12-04,Standard
129,Heather Hopkins,47.0,Male,jamesphillips@diaz-johnston.org,,141247.0,271.81,2024-05-22,Basic
130,Laura Davis,39.0,Female,lindacohen@hotmail.com,Sotostad,105745.0,176.15,2022-06-18,Standard
131,Jessica West,37.0,Female,victoria46@gmail.com,West Richardborough,99189.0,309.18,2024-10-11,Standard
132,Taylor Davis,44.0,Other,jamie67@hotmail.com,,143828.0,89.43,2022-07-27,Premium
133,Albert Clark,68.0,Male,vincent34@gmail.com,Michaelberg,130939.0,915.32,2021-02-28,Standard
134,Holly Wright,42.0,Other,peterfernandez@scott-huff.com,Rogerburgh,,11.75,2021-05-17,Basic
135,Christopher Lopez PhD,60.0,Male,rhernandez@kane.com,North Sarahbury,134556.0,237.96,2021-04-15,Premium
136,Rebecca Phelps,58.0,Male,,East Andrew,135097.0,764.53,2020-06-03,Premium
137,Richard Casey,19.0,Female,thomastimothy@anderson.biz,Longmouth,38766.0,,2022-10-05,Standard
138,,31.0,Female,jennifermorris@yahoo.com,Perrytown,100256.0,269.3,2022-01-21,Premium
139,,37.0,Other,alvarezsteven@gmail.com,South Sandra,,690.82,2022-07-06,Basic
140,Natalie Anderson,26.0,Other,andersonjohnny@henderson.com,Melissashire,61483.0,910.18,2020-01-25,Standard
141,Randall Moore,30.0,Other,dhouse@hendricks.com,Morrisshire,49197.0,274.2,2021-07-15,Premium
142,Roberto Gray,59.0,Female,,Hayesland,76167.0,174.11,2024-06-07,Basic
143,Dennis Spears,32.0,Other,elizabethmora@gmail.com,Josephview,40597.0,983.32,2024-08-22,Basic
144,Robert Mccoy,46.0,Male,erichutchinson@hotmail.com,Lake Cindymouth,112663.0,,2023-10-01,Premium
145,Edwin Sandoval,63.0,Female,josephmurphy@gmail.com,Brownfort,101306.0,153.54,2023-10-07,Standard
146,Sara Clark,,,jennifermccarthy@marshall.org,New Donna,104332.0,529.89,2024-05-17,
147,Sharon Newton,70.0,Female,cranetonya@yahoo.com,Tracyshire,149637.0,326.25,2022-12-16,Standard
148,Angela Villa,59.0,Other,dalebrown@james-smith.com,Rodriguezshire,,156.12,2020-08-15,Standard
149,Charles Cox DVM,34.0,,williamsmith@clark.org,West Steventown,111839.0,,2024-01-31,Standard
150,Brittany Smith,53.0,Female,fpayne@gmail.com,New Brian,139791.0,17.7,2021-08-17,
151,Sean Petersen,36.0,Female,qgonzalez@cooke.com,,52863.0,832.23,2021-09-03,Premium
152,Destiny Benson,26.0,Other,brian12@yahoo.com,,44988.0,376.79,2023-09-22,Premium
153,Julia Collins,53.0,Female,gregorymoore@yahoo.com,Romeroburgh,105968.0,,2023-11-30,Standard
154,Anthony Carter,34.0,Female,fnelson@holloway-potts.com,Martinezton,47413.0,585.83,2023-09-20,Standard
155,Stephanie Caldwell,20.0,Other,hballard@russo.com,East Juanfurt,63459.0,35.0,2021-08-14,Premium
156,Tyrone Martin,37.0,Male,patricia49@obrien-davis.net,East Lynnmouth,84760.0,804.11,2024-10-12,Standard
157,Julian Long,,Male,jennifer00@edwards.org,Port Michael,138669.0,524.37,2020-08-02,Premium
158,Trevor Rodriguez,37.0,Male,zjohnson@glover.com,Debraton,98966.0,,2023-07-14,Premium
159,Amanda Turner,25.0,Other,marydavis@gmail.com,Sheltonstad,48955.0,532.47,2020-04-29,Basic
160,Jennifer Booth,46.0,Male,andrewmartin@hotmail.com,Vanceborough,41345.0,317.8,2024-09-21,Basic
161,Crystal Hubbard,49.0,Other,jonathan81@collins.com,Nataliebury,103732.0,479.83,2023-09-14,Basic
162,Jason Jenkins,,Female,davischarles@gmail.com,Port Jessicachester,88331.0,189.88,2021-09-15,Basic
163,Theodore Harper,28.0,Male,bbell@taylor.biz,Kleinhaven,,303.66,2022-08-19,Standard
164,Steven Romero,21.0,Female,dylan84@yahoo.com,Josemouth,81005.0,890.14,2023-03-07,Standard
165,Christian Jarvis,54.0,Male,kennethtucker@hotmail.com,North Allison,75654.0,981.37,2022-05-01,Basic
166,Amanda Hall,,Male,madisonperkins@brown.info,Michaelton,134256.0,620.13,2022-01-04,Standard
167,Rachel Robertson,29.0,Other,brightjason@harrison.com,Whitakerfurt,40514.0,800.78,2024-04-05,Premium
168,Catherine George,22.0,Male,vramirez@hall-garcia.com,Martinshire,111000.0,437.13,2021-01-04,Basic
169,Hailey Robertson,54.0,Female,ericarojas@hall.com,Shawnhaven,38262.0,105.1,2022-12-21,Premium
170,Michael Jones,39.0,Male,uhaley@frank.com,West Joe,,733.8,2022-04-26,Basic
171,Justin Lawrence,49.0,Other,wjones@payne.info,Jeffreyville,125561.0,53.32,,
172,Douglas Mccarty,21.0,Other,brianguerra@fernandez.com,West Arthurview,147220.0,354.14,2020-11-09,
173,Angela Peterson,37.0,Male,smithjennifer@williams.com,Nicholeton,,443.73,2023-11-14,Basic
174,Kristen Davidson,38.0,Female,piercedustin@gmail.com,,71894.0,370.56,2021-01-26,Premium
175,,47.0,Female,buchanancandice@dawson-cooper.com,East Courtney,43571.0,808.75,2024-08-29,Standard
176,Eric Duran,31.0,Female,wayneallen@hotmail.com,Christianland,41100.0,276.52,2025-01-03,Premium
177,Angela Summers,22.0,Female,pbowen@castaneda-cole.biz,South Paulamouth,129694.0,,2020-01-21,Premium
178,Christina Davis,51.0,Female,turnerpatricia@porter.net,Valentinefurt,33310.0,657.34,2022-03-20,Basic
179,Richard Barnes,64.0,Female,xmiller@howell.net,Port Melissa,71109.0,239.78,2021-05-07,Basic
180,Catherine Kelly,,,pglenn@yahoo.com,West Jacobmouth,45977.0,827.81,2020-04-11,Standard
181,Janice Walls,56.0,Male,patriciavincent@rivera.info,Kelseyton,145922.0,432.76,2022-10-11,Premium
182,Mr. James Moses,65.0,Female,anthony63@chambers.com,Wardburgh,101253.0,963.77,2024-06-06,Standard
183,Derrick Webb,18.0,Female,lynnsavage@yahoo.com,Port Sarahside,123449.0,632.39,2023-12-12,Standard
184,Elizabeth Chandler,53.0,Other,alyssawilliams@roberts.com,Jameschester,48396.0,433.23,2020-08-14,Premium
185,Jessica Gonzalez,65.0,Other,ysaunders@hotmail.com,South Danielside,146914.0,377.0,2023-11-21,Premium
186,,57.0,Male,martinezdawn@wells-foster.com,East Adriana,,,2020-05-26,Basic
187,Patricia Deleon,18.0,Female,jmcbride@peterson-moore.com,Pamelaside,102664.0,558.9,2023-06-27,Basic
188,Gregory Fischer,47.0,Other,aaronallen@yahoo.com,Robertville,134514.0,813.95,2021-11-04,Standard
189,,55.0,Male,melanie34@gmail.com,Robertsbury,134944.0,494.25,2023-05-26,Basic
190,Hannah Gentry,20.0,Male,,Wilsonmouth,,435.02,2020-02-15,Basic
191,Thomas Dennis,53.0,,clarkmatthew@hotmail.com,South Gregorymouth,71070.0,,2020-03-03,Premium
192,Don Thomas,,Male,orush@yahoo.com,,,341.35,2024-07-12,Standard
193,George Martinez,66.0,Other,flewis@armstrong-williams.com,South Colton,144788.0,679.56,2021-12-22,Standard
194,Barry Martinez,28.0,Other,craigpierce@allen.com,New Greggtown,91253.0,144.77,,Standard
195,Lisa Ray,,Female,lmorgan@burton-mejia.info,East Graceport,128806.0,,2022-07-03,Basic
196,Fred Barron,23.0,Other,robertbooth@gmail.com,New Victoriamouth,100312.0,400.3,2020-12-28,Basic
197,Christopher Anderson,25.0,Other,angelabutler@martin.com,South Timothy,48755.0,382.82,2024-09-05,Premium
198,Lori Butler,36.0,Male,smithtina@hotmail.com,Patriciachester,,,2021-01-28,Standard
199,Wayne Smith,40.0,Female,phillip80@yahoo.com,Patrickmouth,,954.84,2022-05-16,Basic
200,Shelly Marshall,28.0,Other,emily73@hotmail.com,New Heatherside,84723.0,563.61,2021-10-09,Standard
201,Jodi Miller,48.0,Other,,North Daniel,97687.0,364.51,,Basic
202,,47.0,Other,wconner@mckenzie-burke.com,West Bettyville,58873.0,397.56,2024-05-23,Premium
203,Kathryn Brooks,67.0,Female,njohnson@cole-lynch.com,South Alicia,149178.0,862.79,2024-12-06,Premium
204,Rodney Freeman,34.0,Male,sean99@hotmail.com,,34142.0,615.86,2023-05-11,Premium
205,Samantha Clarke,21.0,Other,xadams@lucero.com,Arthurchester,89413.0,870.01,2020-11-13,Standard
206,Kimberly Chandler,62.0,Female,reeserenee@greene.com,New Michaelview,,986.62,2021-01-14,Basic
207,Christine Lee,59.0,Female,castillosarah@stewart.com,South Sarahfort,119701.0,342.19,2020-11-27,Basic
208,Derek Ramirez,,Male,fergusonbenjamin@yahoo.com,,71387.0,348.36,2023-12-13,Standard
209,Emily Bonilla,57.0,Female,johnsonanna@hotmail.com,North Maria,55457.0,689.92,2021-06-07,Premium
210,Melissa Martinez,64.0,Female,wweaver@harper.biz,Lake Theresa,30609.0,190.99,2024-03-12,
211,Robert Castillo,66.0,Female,tchen@gmail.com,Johnberg,32926.0,800.19,2022-09-23,Basic
212,Amber Jacobson,29.0,Male,melissa07@howard.biz,Travischester,40299.0,761.11,2024-12-26,Basic
213,James Jennings,43.0,Other,lrussell@yahoo.com,Espinozahaven,100308.0,271.57,2020-07-25,Premium
214,James Lewis,64.0,Male,mcdonalddebra@hotmail.com,Tracyview,83730.0,557.94,2020-01-04,Basic
215,Christine Alexander,47.0,Male,fishersierra@lee.com,West Melissa,72910.0,677.46,2023-02-28,Basic
216,,18.0,Male,melanielivingston@mahoney.com,Josephborough,136286.0,443.83,2021-04-17,Standard
217,Martin Johnson,23.0,Female,urodgers@warren.com,Sandersstad,61064.0,229.7,2023-08-20,Standard
218,Kelly Baker,42.0,Other,nwhite@gmail.com,Lake Lawrenceburgh,137389.0,597.11,2022-09-04,Basic
219,Michelle Lewis,21.0,,thomastamara@mendoza.biz,Lisamouth,39717.0,271.58,2022-10-16,Premium
220,Amy Flores,66.0,Other,ericdickson@barnes.com,Tatehaven,115602.0,961.79,2022-02-18,Basic
221,David West,23.0,Male,brownderek@tapia.com,,114320.0,637.76,2023-09-12,Standard
222,Daniel Jennings,48.0,Female,isaac04@gmail.com,Gravesstad,128371.0,617.53,2020-05-16,Premium
223,Amy Snyder,37.0,Female,natalieowens@gmail.com,East Jessica,45104.0,713.65,,Basic
224,Mario Mclaughlin,54.0,Other,dgreen@johnson-brown.com,Blackburnhaven,118778.0,959.27,2025-01-18,Premium
225,,24.0,Female,anthonykelly@rosales-ellis.net,,53774.0,908.27,2024-09-01,Basic
226,Brenda Williams,54.0,Male,,Michaelville,131678.0,429.87,2023-08-05,Basic
227,Renee Mcdonald,57.0,Other,,East Ashley,,716.45,2020-07-04,Premium
228,Billy Roberts,33.0,Other,jjones@watkins-calhoun.com,Nancyhaven,,160.65,2021-11-09,Standard
229,Tamara Marquez,31.0,Other,bryanthomas@yahoo.com,East Mike,127593.0,846.91,2020-08-14,Standard
230,Michelle Carey,47.0,Female,ryan28@williams-parsons.com,North Johnborough,,289.11,2022-01-02,
231,Brett King,64.0,Female,alexanderjared@roth.info,,,473.96,2023-05-27,Basic
232,Billy Gray,34.0,Other,peckjessica@hotmail.com,South Andrew,128555.0,913.3,2024-11-28,Standard
233,,36.0,Other,jsmith@yahoo.com,West Tylerton,48606.0,547.21,2024-08-29,Standard
234,Melvin Lee,36.0,Male,william96@ryan-long.com,Tammyfurt,77345.0,699.75,2024-08-22,Standard
235,Krista Johnson,47.0,Male,idowns@hotmail.com,West Paul,59552.0,32.09,2023-05-05,Premium
236,Karen Phillips,21.0,Male,richardhaynes@yahoo.com,Alexanderborough,85155.0,74.73,2021-09-07,Premium
237,Melissa Baker,41.0,Male,,Mcmillanmouth,147426.0,452.14,2022-10-27,Standard
238,Benjamin Melton,68.0,Male,wilsonjames@yahoo.com,Fergusonmouth,86078.0,190.33,2020-02-12,Premium
239,Eric Jennings,31.0,,gbrewer@hotmail.com,Jacksonside,44999.0,744.07,2021-08-04,Premium
240,Matthew Flores,35.0,Male,deborah26@hill.com,Barryport,113068.0,745.76,2021-08-15,Basic
241,Jason Austin,42.0,Other,ronaldrogers@yahoo.com,Katherineville,,720.56,2023-12-20,Premium
242,Peggy Bender,56.0,Female,lewischristina@yahoo.com,Lake Juliechester,146190.0,996.93,2023-05-29,Premium
243,Rick Rivas,,Female,martinezmaria@baird-oneal.org,Lake Spencer,94081.0,307.12,2022-09-24,Standard
244,Wesley Arias,58.0,Other,jmclaughlin@sims-miller.org,West Matthew,119617.0,300.03,2021-04-11,Standard
245,Christopher Fleming,33.0,Male,saunderskevin@hotmail.com,Lake Barbaraport,108372.0,262.48,2022-03-27,Basic
246,Jessica Tucker,42.0,Other,jamesbyrd@gmail.com,Port Sandra,145884.0,317.88,2021-10-10,Basic
247,,52.0,Female,kwoods@gmail.com,New Allison,41674.0,284.43,2024-10-15,Premium
248,Christopher Smith,,Male,taragreen@gmail.com,Millerfort,,290.09,2023-01-10,Premium
249,Gregory Stevens,68.0,,moonanthony@yahoo.com,Lake Shane,55914.0,789.04,2023-01-09,
250,Cheryl Powell,70.0,Male,qcarlson@yahoo.com,North Logan,140524.0,730.76,2022-10-14,Basic
251,Robert Black III,23.0,Female,cookheidi@gmail.com,New Oliviafurt,,285.74,2021-08-15,Premium
252,George Sullivan,26.0,Other,nicolehunt@hill-cruz.com,Cassandraburgh,,436.14,2023-05-10,Basic
253,Cynthia Riggs,44.0,Female,samantha87@anderson-maldonado.org,Port Andrew,94344.0,287.92,2023-02-10,Premium
254,Mary Turner,,Female,smithmatthew@jenkins.com,Johnbury,75323.0,83.45,2020-05-13,Premium
255,Scott Koch,40.0,Male,,Huanghaven,31089.0,712.34,2022-04-16,Standard
256,Cynthia Spears,49.0,Female,,East Donna,109458.0,929.46,2023-07-25,Standard
257,William Baker,67.0,Other,saraquinn@stephens-west.com,South Laurenfort,101050.0,278.81,2023-05-11,Premium
